Date,Adj Close,Close,High,Low,Open,Volume,Return,Previous_Return,MA_5,MA_20,MA_50,Volatility_10,Volume_Change,Target
2015-03-17,8723.2998046875,8723.2998046875,8742.5498046875,8630.7998046875,8689.099609375,177000,0.010442238346779709,-0.0016882552542568652,8696.030078125,8799.122412109375,8669.16697265625,0.009786080698764205,0.08389467238211878,0.0
2015-03-18,8685.900390625,8685.900390625,8747.25,8664.0,8742.900390625,156400,-0.004287301239194297,0.010442238346779709,8693.2201171875,8792.949951171875,8674.9759765625,0.00947598680151423,-0.11638418079096047,0.0
2015-03-19,8634.650390625,8634.650390625,8788.2001953125,8614.650390625,8749.4501953125,163500,-0.00590036699653107,-0.004287301239194297,8664.9501953125,8781.227490234374,8680.1009765625,0.009376760895272009,0.045396419437340185,0.0
2015-03-20,8570.900390625,8570.900390625,8627.900390625,8553.0,8627.900390625,174600,-0.0073830435647072035,-0.00590036699653107,8649.5802734375,8765.00751953125,8688.971982421876,0.009285530054882328,0.06788990825688068,0.0
2015-03-23,8550.900390625,8550.900390625,8608.349609375,8540.5498046875,8591.5498046875,150700,-0.002333477124745964,-0.0073830435647072035,8633.1302734375,8750.87255859375,8697.94798828125,0.00736130548774887,-0.13688430698739973,0.0
2015-03-24,8542.9501953125,8542.9501953125,8627.75,8535.849609375,8537.0498046875,156700,-0.000929749494125387,-0.002333477124745964,8597.0603515625,8740.27255859375,8704.115,0.007306000066354388,0.0398142003981421,0.0
2015-03-25,8530.7998046875,8530.7998046875,8573.75,8516.5498046875,8568.900390625,161000,-0.0014222710360253243,-0.000929749494125387,8566.040234375,8728.707568359376,8709.04099609375,0.007305730448104114,0.02744097000638157,0.0
2015-03-26,8342.150390625,8342.150390625,8499.4501953125,8325.349609375,8474.9501953125,280100,-0.022113918786236364,-0.0014222710360253243,8507.540234375,8707.452587890624,8709.42400390625,0.008680820706473729,0.7397515527950311,0.0
2015-03-27,8341.400390625,8341.400390625,8413.2001953125,8269.150390625,8396.0,193000,-8.990487642646094e-05,-0.022113918786236364,8461.640234375,8690.330126953126,8710.26400390625,0.008092993217898673,-0.31096037129596577,1.0
2015-03-30,8492.2998046875,8492.2998046875,8492.2998046875,8380.75,8390.9501953125,134700,0.018090417315550278,-8.990487642646094e-05,8449.9201171875,8672.71513671875,8714.55900390625,0.010624949210087435,-0.30207253886010366,0.0
2015-03-31,8491.0,8491.0,8550.4501953125,8454.150390625,8527.599609375,167200,-0.0001530568535489385,0.018090417315550278,8439.530078125,8649.42763671875,8714.49599609375,0.00978667980778937,0.2412769116555309,1.0
2015-04-01,8586.25,8586.25,8603.400390625,8464.75,8483.7001953125,125500,0.011217759981156483,-0.0001530568535489385,8450.6201171875,8628.92763671875,8715.945,0.010685792968693307,-0.24940191387559807,1.0
2015-04-06,8659.900390625,8659.900390625,8667.5498046875,8573.75,8615.7998046875,146900,0.00857771327704171,0.011217759981156483,8514.1701171875,8615.79013671875,8718.12900390625,0.010941154054578654,0.17051792828685253,1.0
2015-04-07,8660.2998046875,8660.2998046875,8693.599609375,8586.849609375,8684.4501953125,148700,4.612224673294918e-05,0.00857771327704171,8577.95,8601.917626953125,8717.4230078125,0.010605090672647283,0.012253233492171445,1.0
2015-04-08,8714.400390625,8714.400390625,8730.5,8679.7998046875,8698.9501953125,148200,0.006246964557533818,4.612224673294918e-05,8622.3701171875,8599.800146484375,8717.121015625,0.010644461320907425,-0.00336247478143914,1.0
2015-04-09,8778.2998046875,8778.2998046875,8785.5,8682.4501953125,8756.2001953125,152700,0.007332623152276119,0.006246964557533818,8679.830078125,8603.112646484375,8717.45900390625,0.010716775292793785,0.030364372469635637,1.0
2015-04-10,8780.349609375,8780.349609375,8787.400390625,8733.599609375,8774.349609375,139000,0.0002335081659441407,0.007332623152276119,8718.65,8607.1326171875,8716.35400390625,0.010657377217087639,-0.08971840209561233,1.0
2015-04-13,8834.0,8834.0,8841.650390625,8762.099609375,8801.75,121600,0.006110279546012176,0.0002335081659441407,8753.469921875,8610.0326171875,8714.82400390625,0.006009020451369219,-0.12517985611510796,0.0
2015-04-16,8706.7001953125,8706.7001953125,8760.0,8645.650390625,8757.0498046875,142900,-0.014410211080767454,0.006110279546012176,8762.75,8612.980126953125,8710.67201171875,0.008673839610882238,0.17516447368421062,0.0
2015-04-17,8606.0,8606.0,8699.849609375,8596.7001953125,8698.0498046875,150400,-0.01156582781691673,-0.014410211080767454,8741.069921875,8611.622607421876,8703.74501953125,0.008514377877013202,0.05248425472358287,0.0
2015-04-20,8448.099609375,8448.099609375,8619.9501953125,8422.75,8618.7998046875,148900,-0.01834770981001632,-0.01156582781691673,8675.0298828125,8597.86259765625,8696.52900390625,0.010570305200364763,-0.009973404255319118,0.0
2015-04-21,8377.75,8377.75,8469.349609375,8352.7001953125,8416.099609375,407800,-0.008327270348106652,-0.01834770981001632,8594.5099609375,8582.455078125,8688.13599609375,0.00996140524256464,1.7387508394895903,1.0
2015-04-22,8429.7001953125,8429.7001953125,8449.9501953125,8284.7001953125,8400.400390625,171800,0.006200972255378856,-0.008327270348106652,8513.65,8572.207568359376,8681.59900390625,0.009694893557475341,-0.5787150564001962,0.0
2015-04-23,8398.2998046875,8398.2998046875,8504.9501953125,8361.849609375,8478.2001953125,156000,-0.0037249712205020824,0.006200972255378856,8451.969921875,8563.5775390625,8675.09099609375,0.00965169929417735,-0.09196740395809078,0.0
