Date,Return_1D,Return_5D,Return_10D,Return_20D,Price_to_MA5,Price_to_MA20,Price_to_MA50,High_Low_Range,Open_Close_Return,Volatility_10,Volatility_20,Volume_Change,Relative_Volume,RSI_14,MACD,MACD_Signal,MACD_Histogram,BB_Position,ATR_Percent,Target,Close,Prediction,Probability_UP,Next_Return,Position,Strategy_Return,Position_Change,Trading_Cost,Net_Strategy_Return,Buy_Hold_Return,Strategy_Equity,Buy_Hold_Equity
2023-11-06,0.0094199033989916,0.0141503066129353,-0.0066981902663415,-0.0123006080341924,0.0126705475656565,2.706567141075311e-06,-0.0076009608030409,0.0058367113346297,0.0034064355898365,0.0092211692157174,0.0073652641085372,-0.0464379947229551,0.8676029288200696,50.53409935873308,-129.53615681094743,-126.8888073682896,-2.647349442657827,0.5000424578456569,0.009107586541595,0,19411.75,1,0.5849076,-0.000260191958478706,1,-0.000260191958478706,0.0,0.0,-0.000260191958478706,-0.000260191958478706,0.9997398080415213,0.9997398080415213
2023-11-07,-0.0002601919584787,0.0171439451598489,0.0064801804167153,-0.0054145396500193,0.0089636465084268,1.4648627508551115e-05,-0.0078794633721871,0.0048643197671551,0.0001364888975944,0.0080729774900413,0.0072001247357213,0.099612617598229,0.9463932747493512,50.36908245193535,-108.20106439644952,-123.1512587739216,14.950194377472087,0.5002303727301985,0.0088066970854054,1,19406.69921875,0,0.49706978,0.0018962926582819506,0,0.0,1.0,0.0005,-0.0005,0.0018962926582819506,0.9992399381375006,1.0016356072997026
2023-11-08,0.0018962926582819,0.0239268003058901,0.0168050979001057,-0.0125115028434602,0.0061236354995366,0.0025472976590945,-0.0061786787365384,0.0032350343623833,-0.0003136110509987,0.0074352404767393,0.0068812951221506,-0.0186210367388022,0.933572710951526,51.6089968403276,-87.31680073099778,-115.98436716533683,28.667566434339065,0.5409260402912521,0.0083932433146493,0,19443.5,0,0.4886678,-0.002478937369815082,0,-0.0,0.0,0.0,-0.0,-0.002478937369815082,0.9992399381375006,0.99915261536183
2023-11-09,-0.002478937369815,0.0136960935152157,0.0285328338570045,-0.0210005293091248,0.0009150197597782,0.001135881206401,-0.008732740026552,0.0044109025281373,-0.0031915676363899,0.0053783116158811,0.0067024038433912,0.0687179487179487,0.998993336848665,49.85231789919655,-73.80437456027721,-107.54836864432492,33.74399408404771,0.5192196989678646,0.0081281585722802,1,19395.30078125,0,0.40270686,0.001549283945833313,0,0.0,0.0,0.0,0.0,0.001549283945833313,0.9992399381375006,1.0007005864682474
2023-11-10,0.0015492839458333,0.0101270893240925,0.0198506140978356,-0.0186243503397494,0.0004547512909383,0.0036418295079596,-0.0072809029751567,0.0062728118129308,0.003798086564521,0.0047400298474665,0.006727406471641,-0.2696737044145874,0.741263849993912,50.97272778531299,-59.97958287170332,-98.0346114898006,38.055028618097296,0.5652751347336095,0.0079839585539889,1,19425.349609375,0,0.4908788,0.0009369804014345284,0,0.0,0.0,0.0,0.0,0.0009369804014345284,0.9992399381375006,1.0016382233054721
2023-11-13,0.0009369804014345,0.0016382233054721,0.0158117112804805,-0.015568791929385,0.0010642450059854,0.0053808706797426,-0.006448335336991,0.0040964940777077,-0.0022168508730291,0.0046316750957586,0.0067328471714568,0.2437582128777924,0.9369431795684025,51.67699344098081,-47.012720027418254,-87.83023319732415,40.81751316990589,0.6018952888273165,0.0076993425536539,1,19443.55078125,0,0.46197405,0.011926753508604282,0,0.0,0.0,0.0,0.0,0.011926753508604282,0.9992399381375006,1.0135845154996328
2023-11-15,0.0119267535086042,0.0138483106771885,0.0312296705158436,-0.0028533090704068,0.0102080873245264,0.0175199098240335,0.0049684507406291,0.0057710920275605,0.0012237717234886,0.0053163712403223,0.0073051656489234,0.5398837823560485,1.40437935104666,59.63320317790407,-17.81871885280634,-73.82793032842059,56.00921147561425,0.8370821952004234,0.0079714342264173,1,19675.44921875,1,0.5575489,0.004561522280999375,1,0.004561522280999375,1.0,0.0005,0.0040615222809993745,0.004561522280999375,1.0032983734103105,1.0182080038507604
2023-11-16,0.0045615222809993,0.0165453348805513,0.0408680121101225,-0.0023370659086894,0.0114748294363826,0.0222837401561399,0.0092125257365209,0.0125599543547479,0.0045998161900108,0.0045524062881087,0.0073216483420545,-0.030188679245283,1.330916623511134,62.225430689027576,12.416680572918269,-56.57900814815282,68.99568872107109,0.93598782686434,0.008265574384694,0,19765.19921875,1,0.5853064,-0.0016897597201204206,1,-0.0016897597201204206,0.0,0.0,-0.0016897597201204206,-0.0016897597201204206,1.0016030402316594,1.0164874769791492
2023-11-17,-0.0016897597201204,0.0173495633707987,0.0312832781283891,0.003085804712517,0.0062999367036042,0.020396147059621,0.0072983821798191,0.0070216997822954,0.0028996953582637,0.0046884033733615,0.0071476447181872,-0.1623629288998939,1.1049672196169011,60.66423295256923,33.29962037286896,-38.60328244394847,71.90290281681743,0.8920555066501669,0.0081897173543516,0,19731.80078125,0,0.4856684,-0.0019157289123818977,0,-0.0,1.0,0.0005,-0.0005,-0.0019157289123818977,1.0011022387115436,1.0145401625304262
2023-11-20,-0.0019157289123818,0.0138298870304678,0.02409703285586,0.0035313041222964,0.0016275048316549,0.0182588843391318,0.0052464340937521,0.0043642337133136,-0.0018828294290763,0.0048769313138077,0.0071400495094816,-0.2660472972972972,0.8218271231322111,58.864119153825065,46.26596820333725,-21.62943231449132,67.89540051782858,0.8450353266087083,0.0079310651015195,1,19694.0,1,0.59304285,0.0045394734754240496,1,0.0045394734754240496,1.0,0.0005,0.004039473475424049,0.0045394734754240496,1.0051461646510065,1.0191456406879855
2023-11-21,0.004539473475424,0.0174787832324705,0.0191456406879853,0.0123192092775445,0.0027080866803939,0.0222450114393364,0.0096320830920135,0.003793525210184,0.0006322423234668,0.0043066354683611,0.0071246546175159,0.1219792865362485,0.9227929867733006,61.754598056702285,63.02919532033047,-4.697706787526961,67.72690210785743,0.8981170590697131,0.0078190615654529,1,19783.400390625,0,0.46092123,0.0014380348265852216,0,0.0,1.0,0.0005,-0.0005,0.0014380348265852216,1.004643591568681,1.0206112076126574
2023-11-22,0.0014380348265852,0.0069325172253253,0.0208768315548251,0.027492297606545,0.0027635227258349,0.0223149121941339,0.0109964644281046,0.0061428475520736,0.0014076834500101,0.0042447386503674,0.0063184327590171,-0.0538461538461538,0.8713516576933975,62.653908771704565,77.7139497388307,11.784624517744572,65.92932522108613,0.8760363358377962,0.0076889060518673,0,19811.849609375,1,0.57805324,-0.0004971574875239915,1,-0.0004971574875239915,1.0,0.0005,-0.0009971574875239915,-0.0004971574875239915,1.0036418036890555,1.020103803108942
2023-11-23,-0.0004971574875239,0.0018618978155853,0.0184380384190088,0.035552989359832,0.0018917572091943,0.0200174966803055,0.01051235147342,0.0044642152623472,-0.0013339025386306,0.0043227834959158,0.0059197584588253,-0.078590785907859,0.8134944371336285,62.10937969373457,87.54774633037232,26.93724888027013,60.610497450102194,0.8291404465627777,0.0074621223155948,0,19802.0,1,0.5341742,-0.00036868908443588033,1,-0.00036868908443588033,0.0,0.0,-0.00036868908443588033,-0.00036868908443588033,1.0032717719113518,1.0197277019717441
2023-11-24,-0.0003686890844358,0.0031876683835045,0.0205925364089278,0.0497129336859829,0.0008853317957877,0.0171854945629317,0.0103477239477818,0.0032331888094251,-0.00075218030242,0.0041361596830865,0.0046868557048524,-0.1417647058823529,0.7249689440993788,61.68145971734371,93.67219420032052,40.28423794428021,53.38795625604031,0.8018292780888745,0.0071626112673571,1,19794.69921875,1,0.5719438,0.004799264638990497,1,0.004799264638990497,0.0,0.0,0.004799264638990497,0.004799264638990497,1.0080867386495833,1.0246216450732162
2023-11-28,0.0047992646389904,0.0099369969914695,0.0239043115677515,0.0442294409297929,0.0037024783300956,0.0198597129887649,0.0153039225444815,0.0058748806651055,0.0022700741629735,0.0042194574516529,0.0043723242857515,0.5736806031528443,1.133995159776757,65.05530792641562,104.9814089793399,53.22367215129215,51.75773682804776,0.852044086321246,0.0070578994274025,1,19889.69921875,1,0.52305955,0.010402389113554511,1,0.010402389113554511,0.0,0.0,0.010402389113554511,0.010402389113554511,1.0185732491652304,1.0352801581194382
2023-11-29,0.0104023891135545,0.0158314148511304,0.0335869119520471,0.0499296897871164,0.0109477544991898,0.0279499963447913,0.0258376508996049,0.0073818263914555,0.0060094872953582,0.0048726289739023,0.0047121984706191,0.028745644599303,1.1506515649738156,71.03652584568044,129.15041002154248,68.40901972534222,60.741390296200265,0.9699776053265066,0.0072502835198097,1,20096.599609375,1,0.5771881,0.0018187545137213768,1,0.0018187545137213768,0.0,0.0,0.0018187545137213768,0.0018187545137213768,1.0204257838597055,1.0371630785799841
