Test_Start,Test_End,Technical_Return,External_Return,Buy_Hold_Return,Technical_Sharpe,External_Sharpe,Technical_Trades,External_Trades
2021-09-15,2022-12-26,-0.025086217390015597,0.14532794617016953,0.03833172908947868,-0.06840501495082167,0.9410483149439937,77,84
2022-12-30,2024-06-06,0.07816950024157765,0.09291922553649146,0.28637191240393123,0.8124645775386049,0.9197682465354691,104,95
2024-06-10,2025-10-17,0.08396137185730512,-0.011059440101899964,0.11109372887575364,0.6789958665578373,-0.05606018036867319,81,100
2025-10-21,2025-12-29,6.5748528998987865e-06,0.006749818600917168,0.0027156475828145066,0.03819015633302058,0.6264811690879672,11,15
