Date,Adj Close,Close,High,Low,Open,Volume,Return_1D,Return_5D,Return_10D,Return_20D,MA_5,MA_20,MA_50,Price_to_MA5,Price_to_MA20,Price_to_MA50,High_Low_Range,Open_Close_Return,Volatility_10,Volatility_20,Volume_Change,Volume_MA20,Relative_Volume,RSI_14,MACD,MACD_Signal,MACD_Histogram,BB_High,BB_Low,BB_Middle,BB_Position,ATR_14,ATR_Percent,Target
2015-03-17,8723.2998046875,8723.2998046875,8742.5498046875,8630.7998046875,8689.099609375,177000,0.010442238346779709,0.0012913149318714012,-0.026064163375387306,-0.009335096849980129,8696.030078125,8799.122412109375,8669.16697265625,0.0031358822724287805,-0.00861706473335655,0.00624429454433062,0.012810519241806947,0.003935988405012656,0.009786080698764205,0.00946693657452202,0.08389467238211878,178820.0,0.9898221675427804,48.66345087729875,1.0259005931493448,29.652941046685484,-28.62704045353614,9003.706195992145,8594.538628226604,8799.122412109375,0.3146905732633183,119.19470544002446,0.013663946913297044,0
2015-03-18,8685.900390625,8685.900390625,8747.25,8664.0,8742.900390625,156400,-0.004287301239194297,-0.001614929323971337,-0.03449766395720444,-0.014013431663402742,8693.2201171875,8792.949951171875,8674.9759765625,-0.0008420040518735128,-0.012174476272619805,0.001259301938358659,0.009584498584608992,-0.006519575593143097,0.00947598680151423,0.009503133238914777,-0.11638418079096047,179820.0,0.8697586475364253,46.61164503567953,-4.089173075557483,22.90451822223689,-26.993691297794374,9003.295033474058,8582.604868869692,8792.949951171875,0.24553823798674093,116.62722648002271,0.01342718903453033,0
2015-03-19,8634.650390625,8634.650390625,8788.2001953125,8614.650390625,8749.4501953125,163500,-0.00590036699653107,-0.01610638210745219,-0.03227740496283493,-0.026434387826942185,8664.9501953125,8781.227490234374,8680.1009765625,-0.0034968238714044864,-0.01669209683639139,-0.0052361817057454685,0.020099227743595766,-0.013120802121829754,0.009376760895272009,0.009402815929088412,0.045396419437340185,180615.0,0.9052404285358359,43.881246337772644,-12.138428251035293,15.895928927582455,-28.034357178617746,8999.281119811969,8563.17386065678,8781.227490234374,0.1638966755716977,120.69312492341395,0.013977766263062082,0
2015-03-20,8570.900390625,8570.900390625,8627.900390625,8553.0,8627.900390625,174600,-0.0073830435647072035,-0.008886659463444246,-0.04104496202903418,-0.036468631882598634,8649.5802734375,8765.00751953125,8688.971982421876,-0.009096381596009007,-0.022145688805596198,-0.013588672173847405,0.008738917407898866,-0.006606474045752277,0.009285530054882328,0.009440895481023599,0.06788990825688068,178680.0,0.977165883143049,40.68843248221298,-23.391965174829238,8.038350107100118,-31.430315281929357,8994.659505707292,8535.355533355207,8765.00751953125,0.07738852570285618,117.90435818781295,0.013756356136956017,0
2015-03-23,8550.900390625,8550.900390625,8608.349609375,8540.5498046875,8591.5498046875,150700,-0.002333477124745964,-0.009527228911628605,-0.0235075352585149,-0.03200272043686181,8633.1302734375,8750.87255859375,8697.94798828125,-0.009524920881306076,-0.02285168326127296,-0.016906010228431745,0.007928966727507909,-0.004731324963084298,0.00736130548774887,0.009365242356800285,-0.13688430698739973,176335.0,0.8546233022372189,39.71220037642769,-33.537705326805735,-0.27686097968105283,-33.26084434712468,8996.16471876943,8505.58039841807,8750.87255859375,0.09237961819585278,114.32546150921917,0.013369991028612943,0
2015-03-24,8542.9501953125,8542.9501953125,8627.75,8535.849609375,8537.0498046875,156700,-0.000929749494125387,-0.02067447106175213,-0.01940985338307133,-0.02421487218893681,8597.0603515625,8740.27255859375,8704.115,-0.00629403005646767,-0.022576225393249882,-0.018515932370780974,0.010757453634158556,0.000691151013522286,0.007306000066354388,0.009205580190636971,0.0398142003981421,177190.0,0.8843614199446921,39.30846141779801,-41.73865458389082,-8.569219700523007,-33.16943488336781,9001.733493056054,8478.811624131446,8740.27255859375,0.1226542146974189,112.72367073177494,0.01319493478887729,0
2015-03-25,8530.7998046875,8530.7998046875,8573.75,8516.5498046875,8568.900390625,161000,-0.0014222710360253243,-0.017856592749429412,-0.019442684938143384,-0.02639776024002527,8566.040234375,8728.707568359376,8709.04099609375,-0.0041139696666473435,-0.02267320357818725,-0.020466224867490723,0.006705138629682725,-0.004446379838792946,0.007305730448104114,0.009193568411354528,0.02744097000638157,177750.0,0.9057665260196905,38.661537871912174,-48.65750747523634,-16.586877255465673,-32.07063021977067,9005.307111291155,8452.108025427597,8728.707568359376,0.1422485706697498,108.75770820182673,0.012748829030317484,0
2015-03-26,8342.150390625,8342.150390625,8499.4501953125,8325.349609375,8474.9501953125,280100,-0.022113918786236364,-0.0338751410615975,-0.049435917203167756,-0.048487223402435164,8507.540234375,8707.452587890624,8709.42400390625,-0.0194403833768233,-0.04195282071057693,-0.04216967885781242,0.020869988885977905,-0.01566968555885457,0.008680820706473729,0.010285285745842743,0.7397515527950311,184995.0,1.5140949755398794,30.318495291930333,-68.57271576289713,-26.984044956951966,-41.58867080594517,9030.389728670993,8384.515447110256,8707.452587890624,-0.06559334795446888,115.66431442401768,0.013865047860321783,0
2015-03-27,8341.400390625,8341.400390625,8413.2001953125,8269.150390625,8396.0,193000,-8.990487642646094e-05,-0.026776650006460345,-0.03542535449972539,-0.0394351853330458,8461.640234375,8690.330126953126,8710.26400390625,-0.014209992438762753,-0.04015149381332672,-0.042348155361976114,0.01726925911018482,-0.006503050187589328,0.008092993217898673,0.01015888995635887,-0.31096037129596577,183770.0,1.0502258257604615,30.290509191076595,-83.45417278869718,-38.27807052330101,-45.17610226539617,9050.61210586244,8330.048148043812,8690.330126953126,0.015754663355012587,117.69184944283784,0.014109363407985201,1
2015-03-30,8492.2998046875,8492.2998046875,8492.2998046875,8380.75,8390.9501953125,134700,0.018090417315550278,-0.006853148003191367,-0.01631508540502824,-0.03983219368280655,8449.9201171875,8672.71513671875,8714.55900390625,0.005015395046610971,-0.020802635528452185,-0.02550435416400576,0.013135405868022674,0.012078442490531966,0.010624949210087435,0.010114581932990543,-0.30207253886010366,178030.0,0.7566140538111554,41.90910831916304,-82.12482919094691,-47.04742225683019,-35.07740693411672,9035.544765978773,8309.885507458728,8672.71513671875,0.251377344238395,120.06381834424226,0.014137962755150326,0
2015-03-31,8491.0,8491.0,8550.4501953125,8454.150390625,8527.599609375,167200,-0.0001530568535489385,-0.006081060304086172,-0.026629808660556753,-0.05199988835235991,8439.530078125,8649.42763671875,8714.49599609375,0.006098671537223099,-0.018316545715255206,-0.02564646265187709,0.01134139732510894,-0.004291900540776262,0.00978667980778937,0.009525409689756585,0.2412769116555309,175485.0,0.9527879875772858,41.84441274623117,-80.25111330805703,-53.68816046707556,-26.562952840981467,8995.758442040293,8303.096831397208,8649.42763671875,0.2712770070053946,118.3663887973321,0.013940217736112603,1
2015-04-01,8586.25,8586.25,8603.400390625,8464.75,8483.7001953125,125500,0.011217759981156483,0.00649999959933778,-0.011472660995808348,-0.04557454494928448,8450.6201171875,8628.92763671875,8715.945,0.016049695872217162,-0.004945879547899268,-0.014880199450547194,0.016147956398311254,0.012087862881359464,0.010685792968693307,0.009904075115646546,-0.24940191387559807,172870.0,0.7259790594088043,48.15985695274315,-70.27026908860535,-57.00458219138152,-13.265686897223823,8937.156705978194,8320.698567459307,8628.92763671875,0.4307696110212959,119.81524607073696,0.013954316036772394,1
2015-04-06,8659.900390625,8659.900390625,8667.5498046875,8573.75,8615.7998046875,146900,0.00857771327704171,0.038089699312672476,0.0029242643138644997,-0.029447528312447457,8514.1701171875,8615.79013671875,8718.12900390625,0.01711620409642922,0.005119699204169548,-0.006679026343285321,0.01083151080918268,0.0051185713383807615,0.010941154054578654,0.010086056072015065,0.17051792828685253,167795.0,0.8754730474686373,52.45894215029109,-55.77447372050483,-56.75856049720618,0.9840867767013535,8893.732639002938,8337.847634434562,8615.79013671875,0.5793514009979462,117.9570002576486,0.013621057395226626,1
